timestamp,open,high,low,close,volume
2024-12-25,196.92,201.65,195.08,197.38,77888.39393797
2024-12-26,197.33,199.54,186.5,188.27,126419.53081292
2024-12-27,188.27,194.0,182.62,183.81,134928.65099277
2024-12-28,183.81,195.58,183.57,195.15,107692.51049678
2024-12-29,195.17,197.19,188.26,189.6,120179.83019262
2024-12-30,189.59,196.1,185.58,191.06,186701.85956345
2024-12-31,191.06,198.73,187.76,188.95,169485.43574286
2025-01-01,188.93,194.72,187.63,193.82,109203.0981152
2025-01-02,193.88,209.95,193.1,208.0,284268.54309407
2025-01-03,208.03,219.57,205.61,217.7,177794.24700499
2025-01-04,217.72,217.88,213.61,216.67,92172.58269582
2025-01-05,216.67,218.82,211.51,213.35,73763.20616129
2025-01-06,213.42,223.11,211.51,218.45,174160.42694047
2025-01-07,218.46,219.0,201.82,202.16,248391.95870966
2025-01-08,202.16,203.17,188.37,197.48,310990.51577525
2025-01-09,197.48,199.0,182.2,185.06,293728.17668544
2025-01-10,185.06,192.97,183.46,187.56,229811.15966055
2025-01-11,187.62,191.69,184.17,187.95,105065.80337331
2025-01-12,188.03,190.79,185.16,188.48,86524.6848727
2025-01-13,188.48,191.7,168.74,182.73,330878.44831706
2025-01-14,182.78,189.96,181.83,187.49,141960.13513498
2025-01-15,187.53,206.0,185.88,206.0,223297.23715899
2025-01-16,206.0,216.9,198.32,211.06,394101.86205582
2025-01-17,211.06,221.95,209.83,219.59,349173.84420855
2025-01-18,219.6,270.0,217.41,261.51,1329597.36457559
2025-01-19,261.52,296.0,236.96,252.22,1800171.35733445
2025-01-20,252.23,272.78,229.5,241.91,1089902.65921243
2025-01-21,241.91,260.0,230.15,250.48,524909.25674917
2025-01-22,250.48,271.88,248.69,257.5,458893.32039568
2025-01-23,257.51,258.44,242.2,253.08,652211.4452065
2025-01-24,253.16,269.69,247.5,253.35,357773.54753709
2025-01-25,253.42,260.85,246.37,256.2,220587.84174703
2025-01-26,256.32,259.98,240.36,240.59,186715.66623736
2025-01-27,240.4,242.54,221.1,234.98,694845.31249939
2025-01-28,234.98,244.05,224.99,227.04,261130.21552971
2025-01-29,227.04,238.24,221.11,227.99,336571.96355751
2025-01-30,228.0,244.69,226.9,238.53,242066.72996615
2025-01-31,238.53,241.69,225.0,231.69,223714.21655085
2025-02-01,231.69,234.0,212.88,212.94,238517.80444749
2025-02-02,212.96,218.72,192.2,203.38,423057.3064109
2025-02-03,203.38,218.66,175.08,216.53,783554.87399347
2025-02-04,216.54,220.0,202.27,206.66,355163.87454382
2025-02-05,206.71,209.48,195.12,195.94,249676.6288361
2025-02-06,196.12,204.17,187.33,189.57,222827.42436671
2025-02-07,189.56,203.47,188.17,192.16,202591.48720829
2025-02-08,192.16,200.83,189.72,199.43,127489.259951
2025-02-09,199.41,207.31,193.8,200.59,167814.96891242
2025-02-10,200.54,209.0,196.1,200.53,163718.37508817
2025-02-11,200.53,206.1,195.18,197.96,154449.48179546
2025-02-12,197.96,198.49,188.65,196.77,231910.41500786
2025-02-13,196.81,198.43,189.0,194.31,127082.88932505
2025-02-14,194.31,205.28,194.22,199.45,186124.90399823
2025-02-15,199.42,200.37,192.63,194.42,90536.3937194
